id,domain,objective,applies_to,minimum_evidence,nist_ai_rmf,primary_owner
SEC-03,Security,"Manage vulnerabilities, dependencies, model artifacts, secrets, signing, provenance, and patching",built or integrated AI,"SBOM/ML-BOM; scans; patch records; attestations",MEASURE 2,engineering owner
SUP-01,Suppliers,"Perform risk-based due diligence on providers, models, data, tools, agents, and subprocessors",third-party AI,"questionnaire; evidence review; risk decision",MAP 3,procurement owner
SUP-02,Suppliers,"Contract for data use, security, evaluation evidence, change notice, incidents, audit, continuity, and exit",third-party AI,"executed clauses; deviations and approvals",MANAGE 3,procurement or legal
DEV-01,Development,"Version and review data, model, prompt, retrieval, tool, policy, configuration, and infrastructure changes",built or configured AI,"repository history; review; release record",GOVERN 6,engineering owner
DEV-02,Development,"Separate development, evaluation, and production with protected test assets and approval boundaries",built or configured AI,"environment design; access controls; pipeline evidence",MANAGE 2,engineering owner
EVA-01,Evaluation,"Define system claims, representative scenarios, relevant slices, metrics, thresholds, and stop conditions before testing",all production AI,"approved evaluation plan",MEASURE 1,evaluation owner
EVA-02,Evaluation,"Evaluate performance, robustness, fairness, privacy, security, safety, accessibility, and human factors as applicable",medium/high impact,"versioned results; limitations; disposition",MEASURE 2,evaluation owner
EVA-03,Evaluation,"Test foreseeable misuse, adversarial behavior, out-of-distribution conditions, and recovery",medium/high impact,"red-team/adversarial results; regression tests",MEASURE 2,security or evaluation owner
EVA-04,Evaluation,"Make evaluation reproducible and sufficiently independent for the consequence level",high impact,"test assets; configuration; evaluator roles; rerun evidence",MEASURE 3,evaluation owner
HUM-01,Human oversight,"Define when humans review, approve, override, interrupt, appeal, and remain accountable",medium/high impact,"workflow; authority matrix; interface and test evidence",GOVERN 3,business owner
HUM-02,Human oversight,"Design oversight for workload, automation bias, accessibility, competency, and realistic intervention time",medium/high impact,"human-factors evaluation; training; staffing evidence",MEASURE 4,business owner
TRN-01,Transparency,"Give users and affected people appropriate notice, instructions, limitations, recourse, and contact paths",external or consequential AI,"approved notices; UI tests; complaint path",MAP 5,product or legal
TRN-02,Transparency,"Maintain current system, model, data, evaluation, limitation, decision, and change documentation",medium/high impact,"system card; model/data docs; decision log",GOVERN 4,system owner
OPS-01,Operations,"Monitor risk-relevant quality, slices, drift, attacks, policy violations, overrides, cost, and outcomes",production AI,"dashboard; thresholds; alerts; review records",MEASURE 2,operations owner
OPS-02,Operations,"Log versions, identities, inputs/outputs as permitted, decisions, tool calls, approvals, actions, and outcomes",production AI,"trace samples; retention and access configuration",MEASURE 2,operations owner
OPS-03,Operations,"Use bounded rollout, canaries, safe fallback, rollback, shutdown, and credential-revocation mechanisms",medium/high impact,"tested release/rollback/kill-switch record",MANAGE 2,operations owner
INC-01,Incident,"Maintain AI-specific detection, triage, containment, evidence, notification, remedy, and recovery procedures",production AI,"incident plan; contact tree; exercise evidence",MANAGE 4,incident owner
INC-02,Incident,"Capture near misses and incidents; analyze causes; track corrective and preventive action to verified closure",production AI,"incident register; root-cause report; action tracking",MANAGE 4,incident owner
CHG-01,Change,"Reassess risk and reapprove material model, data, prompt, tool, permission, vendor, use, user, or jurisdiction changes",all AI,"change record; materiality decision; approval",GOVERN 6,change owner
RET-01,Retirement,"Plan and verify decommissioning, access revocation, data/artifact disposition, records retention, and replacement",all AI,"retirement plan; deletion/revocation evidence",MANAGE 4,system owner
AGT-01,Agentic systems,"Bound objectives, actions, tools, recipients, data, environment, time, steps, spend, and transaction value",agents,"agentic assessment; enforced limits; tests",MANAGE 2,agent owner
AGT-02,Agentic systems,"Give each agent/workload a attributable least-privilege identity without unsafe credential forwarding",agents,"access matrix; identity flow; access tests",MANAGE 2,security owner
AGT-03,Agentic systems,"Isolate untrusted instructions and validate model-selected tool, target, and parameters before execution",agents,"trust-boundary design; policy checks; injection tests",MEASURE 2,engineering owner
AGT-04,Agentic systems,"Require human approval for defined consequential, novel, high-value, or irreversible actions",agents,"approval policy; interface; bypass and timeout tests",GOVERN 3,business owner
AGT-05,Agentic systems,"Constrain and govern memory for scope, provenance, poisoning, sensitive content, retention, and user control",agents with memory,"memory design; access/TTL controls; poisoning tests",MAP 2,data or privacy owner
AGT-06,Agentic systems,"Evaluate trajectories, delegation, tool misuse, identity, approval bypass, resource exhaustion, and recovery",agents,"agent evaluation suite; thresholds; regression history",MEASURE 2,evaluation owner
AGT-07,Agentic systems,"Preserve end-to-end action and authorization lineage across models, tools, agents, and humans",agents,"trace samples; correlation IDs; integrity controls",MEASURE 2,operations owner
AGT-08,Agentic systems,"Test containment, safe degradation, cancellation, rollback, kill switch, and credential revocation",agents,"exercise record; recovery metrics; remediation",MANAGE 4,operations owner
